Date;Close/Last;Volume;Open;High;Low;;
02/19/2025;$10.53;215500;$10.53;$10.58;$10.49;;
02/18/2025;$10.85;185800;$10.79;$10.87;$10.79;;
02/14/2025;$10.84;314700;$10.92;$10.95;$10.78;;
02/13/2025;$10.58;477100;$10.56;$10.70;$10.35;;
02/12/2025;$10.09;166700;$9.95;$10.12;$9.90;;
02/11/2025;$9.99;143400;$9.82;$9.99;$9.78;;
02/10/2025;$10.06;283900;$10.02;$10.10;$9.99;;
02/07/2025;$9.97;207900;$10.15;$10.15;$9.89;;
02/06/2025;$10.00;307000;$10.10;$10.24;$9.94;;
02/05/2025;$9.92;123600;$9.80;$10.10;$9.79;;
02/04/2025;$10.04;132500;$9.97;$9.98;$9.97;;
02/03/2025;$9.93;289000;$9.77;$10.55;$9.71;;
01/30/2025;$10.34;200900;$10.41;$10.49;$10.34;;
01/30/2025;$10.42;179000;$10.46;$10.49;$10.40;;
01/29/2025;$10.33;220200;$10.41;$10.49;$10.29;;
01/28/2025;$10.51;243686;$10.54;$10.61;$10.36;;
01/27/2025;$10.6203;297211;$10.57;$10.66;$10.55;;
01/24/2025;$10.37;259632;$10.43;$10.45;$10.37;;
01/23/2025;$10.22;217335;$10.17;$10.23;$10.13;;
01/22/2025;$9.975;233001;$10.03;$10.04;$9.96;;
01/21/2025;$10.08;258399;$9.95;$10.08;$9.9003;;
01/17/2025;$9.77;109324;$9.77;$9.8425;$9.75;;
01/16/2025;$9.70;152437;$9.73;$9.76;$9.685;;
01/15/2025;$9.78;172576;$9.76;$9.835;$9.711;;
01/14/2025;$9.62;242417;$9.57;$9.63;$9.53;;
01/13/2025;$9.43;291808;$9.47;$9.48;$9.38;;
01/10/2025;$9.46;218761;$9.49;$9.53;$9.41;;
01/08/2025;$9.34;179735;$9.33;$9.36;$9.2726;;
01/07/2025;$9.40;241345;$9.50;$9.53;$9.38;;
01/06/2025;$9.40;367553;$9.43;$9.49;$9.3974;;
01/03/2025;$9.10;211315;$9.06;$9.10;$9.03;;
01/02/2025;$9.08;307209;$9.22;$9.23;$9.03;;
12/31/2024;$9.31;451224;$9.36;$9.41;$9.27;;
12/30/2024;$9.36;759567;$9.42;$9.48;$9.36;;
12/27/2024;$9.43;427285;$9.44;$9.49;$9.40;;
12/26/2024;$9.29;436212;$9.30;$9.37;$9.20;;
12/24/2024;$9.31;171743;$9.26;$9.31;$9.25;;
12/23/2024;$9.29;415856;$9.13;$9.30;$9.09;;
12/20/2024;$9.41;465185;$9.40;$9.71;$9.16;;
12/19/2024;$9.15;489036;$9.37;$9.37;$9.15;;
12/18/2024;$9.22;466006;$9.39;$9.44;$9.16;;
12/17/2024;$9.32;469818;$9.23;$9.35;$9.22;;
12/16/2024;$9.28;622172;$9.23;$9.31;$9.135;;
